Timestamp,Accel_X_g,Accel_Y_g,Accel_Z_g
02:26:22.031,-0.1284,-0.2402,-1.3496
02:26:22.046,-0.0474,-0.2461,-1.0811
02:26:22.057,0.0405,-0.2378,-0.8901
02:26:22.069,0.1172,-0.1597,-0.6724
02:26:22.082,0.2241,0.0718,-0.4028
02:26:22.094,0.2949,0.1392,-0.2041
02:26:22.105,0.3208,0.1611,0.0352
02:26:22.120,0.2705,0.1455,0.2344
02:26:22.131,0.2617,-0.0698,0.3438
02:26:22.142,0.1768,0.0581,0.5894
02:26:22.153,0.1938,0.0142,0.7236
02:26:22.164,0.0908,0.0054,0.8203
02:26:22.176,0.0293,0.0312,0.7812
02:26:22.187,0.0117,0.0498,0.7769
02:26:22.198,0.0415,0.0728,0.8643
02:26:22.210,-0.0054,0.1694,0.8359
02:26:22.221,-0.0068,0.1641,0.8657
02:26:22.232,0.0063,0.1714,0.9180
02:26:22.243,0.0239,0.1411,0.9644
02:26:22.254,0.0278,0.1074,1.0234
02:26:22.265,0.0098,0.1025,1.0693
02:26:22.277,-0.0078,0.1191,1.0723
02:26:22.290,-0.0195,0.1440,1.0830
02:26:22.301,-0.0273,0.1509,1.0166
02:26:22.312,-0.0391,0.1040,1.1167
02:26:22.323,0.0029,0.1489,1.2124
02:26:22.334,0.0420,0.1465,1.2466
02:26:22.346,0.0269,0.1323,1.2363
02:26:22.357,0.0249,0.1240,1.2007
02:26:22.368,0.0454,0.1221,1.1895
02:26:22.379,0.0371,0.1138,1.1909
02:26:22.390,0.0596,0.1025,1.1992
02:26:22.402,0.0708,0.1084,1.2051
02:26:22.413,0.0601,0.0879,1.2280
02:26:22.424,0.0581,0.0781,1.2163
02:26:22.437,0.0503,0.0854,1.2075
02:26:22.448,0.0498,0.0913,1.1807
02:26:22.459,0.0566,0.0913,1.1650
02:26:22.471,0.0688,0.0923,1.1636
02:26:22.482,0.0854,0.0884,1.1323
02:26:22.493,0.0923,0.0903,1.1167
02:26:22.504,0.0967,0.0986,1.0884
02:26:22.516,0.0889,0.0962,1.0635
02:26:22.527,0.0854,0.0898,1.0479
02:26:22.538,0.0723,0.0928,1.0435
